ANO;LOCALIDAD_RESIDENCIA;GRUPOS_EDAD_QUINQUENIOS;SEXO;CASOS;MUERTES
2021;18 - Rafael Uribe Uribe;15. 65 a 69 años;M;646;60
2021;11 - Suba;13. 55 a 59 años;M;4315;158
2021;01 - Usaquén;16. 70 a 74 años;F;1102;66
2021;01 - Usaquén;06. 20 a 24 años;M;3334;1
2021;14 - Los Mártires;08. 30 a 34 años;F;694;2
2021;12 - Barrios Unidos;16. 70 a 74 años;F;291;22
2021;18 - Rafael Uribe Uribe;08. 30 a 34 años;F;2712;5
2022;05 - Usme;10. 40 a 44 años;F;481;
2022;05 - Usme;12. 50 a 54 años;F;319;
2022;05 - Usme;13. 55 a 59 años;M;134;
2022;11 - Suba;04. 10 a 14 años;M;817;
2022;11 - Suba;09. 35 a 39 años;F;3552;
2022;11 - Suba;08. 30 a 34 años;F;3620;
2022;03 - Santa Fe;04. 10 a 14 años;F;60;
2022;08 - Kennedy;03. 5 a 9 años;F;268;
2022;08 - Kennedy;07. 25 a 29 años;F;2220;
2022;08 - Kennedy;06. 20 a 24 años;M;1032;
2022;08 - Kennedy;10. 40 a 44 años;F;2037;1
2022;01 - Usaquén;07. 25 a 29 años;F;2294;
2022;01 - Usaquén;06. 20 a 24 años;F;1650;1
2022;01 - Usaquén;12. 50 a 54 años;M;1265;1
2022;01 - Usaquén;18. 80 a 84 años;F;668;12
2022;01 - Usaquén;17. 75 a 79 años;F;974;15
2022;01 - Usaquén;13. 55 a 59 años;F;1952;1
2022;02 - Chapinero;16. 70 a 74 años;F;397;1
2022;09 - Fontibón;02. 1 a 4 años;M;247;
2022;10 - Engativá;14. 60 a 64 años;F;1354;4
2022;10 - Engativá;13. 55 a 59 años;F;1364;4
2022;22 - En Rev_Loc;14. 60 a 64 años;F;945;
2022;22 - En Rev_Loc;07. 25 a 29 años;M;1159;
2022;22 - En Rev_Loc;10. 40 a 44 años;F;1337;1
2022;22 - En Rev_Loc;15. 65 a 69 años;F;831;1
2022;22 - En Rev_Loc;17. 75 a 79 años;F;483;
2022;17 - La Candelaria;06. 20 a 24 años;F;110;
2022;12 - Barrios Unidos;16. 70 a 74 años;F;246;3
2022;19 - Ciudad Bolívar;02. 1 a 4 años;M;273;
2023;10 - Engativá;16. 70 a 74 años;F;32;
2023;22 - En Rev_Loc;10. 40 a 44 años;F;136;
2023;22 - En Rev_Loc;08. 30 a 34 años;M;96;
2023;02 - Chapinero;12. 50 a 54 años;F;36;
2020;05 - Usme;10. 40 a 44 años;M;696;7
2020;05 - Usme;09. 35 a 39 años;M;950;5
2020;05 - Usme;03. 5 a 9 años;F;191;
2020;05 - Usme;10. 40 a 44 años;F;846;1
2020;07 - Bosa;07. 25 a 29 años;F;2803;5
2020;07 - Bosa;05. 15 a 19 años;M;899;
2020;07 - Bosa;07. 25 a 29 años;M;2343;4
2020;07 - Bosa;10. 40 a 44 años;F;1864;4
2020;11 - Suba;13. 55 a 59 años;M;2302;58
2020;11 - Suba;06. 20 a 24 años;M;3396;1
2020;03 - Santa Fe;12. 50 a 54 años;F;357;1
2020;03 - Santa Fe;03. 5 a 9 años;M;76;
2020;08 - Kennedy;03. 5 a 9 años;F;734;
2020;08 - Kennedy;13. 55 a 59 años;M;2089;85
2020;08 - Kennedy;09. 35 a 39 años;F;3805;5
2020;08 - Kennedy;15. 65 a 69 años;F;1096;60
2020;01 - Usaquén;02. 1 a 4 años;M;275;
2020;02 - Chapinero;07. 25 a 29 años;M;906;
2020;10 - Engativá;17. 75 a 79 años;F;549;41
2020;06 - Tunjuelito;06. 20 a 24 años;M;596;
2020;06 - Tunjuelito;05. 15 a 19 años;F;271;
2020;13 - Teusaquillo;06. 20 a 24 años;M;531;
2020;14 - Los Mártires;09. 35 a 39 años;F;346;
2020;14 - Los Mártires;05. 15 a 19 años;M;135;
2020;14 - Los Mártires;12. 50 a 54 años;M;268;8
2020;16 - Puente Aranda;08. 30 a 34 años;F;1153;
2020;04 - San Cristóbal;09. 35 a 39 años;F;1305;1
2020;04 - San Cristóbal;05. 15 a 19 años;F;534;
2020;15 - Antonio Nariño;17. 75 a 79 años;M;107;14
2020;15 - Antonio Nariño;16. 70 a 74 años;M;147;23
2020;19 - Ciudad Bolívar;10. 40 a 44 años;F;1400;3
2020;19 - Ciudad Bolívar;06. 20 a 24 años;F;1838;3
